Név;Ár;Az elmult 1 oraban csokkenes / novekves;Az elmult 1 napban -||- ;Az elmult 1 hetben  -||- ;Az elmult 1 evben  -||- 
BTC;76491,26;-0,5;-1,9;-5,2;120,3
ETH;2233,54;-0,3;-2,1;-8,4;45,7
USDT;0,9989;0,0;0,0;0,0;0,1
BNB;752,25;-0,8;-1,5;-3,2;89,1
XRP;1,58;-1,2;-0,9;-2,7;210,4
USDC;0,9996;0,0;0,0;0,0;0,1
SOL;101,56;-0,4;-3,8;-10,5;320,8
TRX;0,2830;+0,1;-0,7;-1,9;15,2
STETH;2230,47;-0,3;-2,0;-7,9;44,2
DOGE;0,1033;-0,6;-2,5;-9,1;78,6
FIGR_HELOC;1,00;0,0;0,0;0,0;0,0
WBT;49,21;-1,1;-4,3;-12,7;150,2
ADA;0,2855;-0,7;-2,8;-11,3;67,9
BCH;512,80;-0,9;-3,1;-8,9;112,4
WSTETH;2733,94;-0,2;-1,8;-6,5;52,3
WBTC;76228,57;-0,5;-2,2;-5,8;119,8
USDS;0,9996;0,0;0,0;0,0;0,1
BSC-USD;0,9985;0,0;0,0;0,0;0,0
WBETH;2428,34;-0,4;-1,9;-7,2;48,1
LEO;8,64;-0,1;-0,6;-2,1;25,4
